aws_temp_c,aws_rh_pct,aws_pressure_hpa,aws_pressure_tendency_3h,aws_wind_speed_ms,aws_wind_dir_deg,aws_rain_gauge_last_1h_mm,nwp_cape_j_kg,nwp_pwat_mm,nwp_precip_forecast_3h_mm,sat_brightness_temp_k,sat_cloud_top_cooling_rate,sat_water_vapor_pct,radar_reflectivity_dbz,radar_vil_kg_m2,radar_echo_top_km,catchment_elevation_m,catchment_slope_deg,drainage_capacity_score,soil_saturation_index,rainfall_next_3h_mm,rainfall_intensity_class,inundation_risk_tier,inundation_depth_cm
28.4,92.5,998.2,-2.8,11.2,225.0,24.5,2850.0,64.2,42.0,208.4,8.5,88.4,52.3,34.5,14.2,12.0,1.2,3.5,0.85,68.4,Very Heavy,SEVERE,48.2
31.2,64.0,1006.5,0.2,3.8,180.0,0.0,750.0,38.5,2.1,268.0,0.4,58.0,18.5,1.2,4.1,45.0,4.8,7.2,0.42,1.8,Light,LOW,0.0
26.8,96.0,994.0,-3.5,14.5,240.0,38.0,3400.0,71.0,65.0,198.2,11.2,94.0,58.6,48.2,16.5,8.5,0.8,2.8,0.95,94.5,Extremely Heavy,SEVERE,78.6
29.5,82.0,1002.1,-1.1,7.4,210.0,8.2,1850.0,52.4,18.5,232.0,4.2,76.5,39.4,14.8,9.8,25.0,2.5,5.0,0.68,26.4,Heavy,MODERATE,14.2
33.0,52.0,1009.0,0.8,2.5,120.0,0.0,450.0,28.0,0.0,284.5,0.1,44.0,12.0,0.8,2.8,65.0,6.2,8.5,0.32,0.2,Light,LOW,0.0
27.5,89.0,999.5,-1.8,9.0,215.0,16.5,2400.0,59.8,31.0,218.6,6.4,83.0,46.8,24.0,12.1,15.0,1.5,4.2,0.78,48.5,Very Heavy,HIGH,28.5
30.1,74.0,1004.2,-0.4,5.2,190.0,2.4,1250.0,44.0,8.5,248.0,1.8,68.0,28.2,5.6,6.5,35.0,3.8,6.5,0.54,9.6,Moderate,LOW,2.1
28.8,86.5,1000.8,-1.5,8.2,205.0,12.0,2100.0,56.2,24.0,224.5,5.1,80.5,43.5,19.2,11.0,18.0,1.8,4.8,0.72,36.2,Heavy,MODERATE,18.8
32.5,58.0,1007.8,0.4,3.1,150.0,0.0,600.0,32.5,0.8,276.0,0.2,50.5,15.0,1.0,3.5,52.0,5.4,7.8,0.38,0.8,Light,LOW,0.0
26.2,98.2,992.5,-4.2,16.8,250.0,45.0,3800.0,74.5,78.0,195.0,12.8,96.5,61.2,54.0,17.2,5.0,0.5,2.2,0.98,112.0,Extremely Heavy,SEVERE,95.4
29.0,78.5,1003.5,-0.8,6.0,195.0,5.1,1500.0,48.0,12.0,240.2,3.0,72.0,34.0,9.5,8.2,28.0,3.0,5.8,0.61,16.8,Moderate,LOW,6.4
27.9,91.0,998.8,-2.2,10.5,220.0,20.0,2650.0,62.0,38.0,212.0,7.8,86.0,49.5,29.5,13.4,11.0,1.1,3.8,0.82,59.0,Very Heavy,HIGH,38.2
31.8,61.0,1006.8,0.1,3.5,160.0,0.0,700.0,35.0,1.5,272.0,0.3,54.0,16.8,1.1,3.8,48.0,5.0,7.5,0.40,1.2,Light,LOW,0.0
28.2,88.0,1000.0,-1.6,8.8,210.0,14.5,2250.0,58.0,28.0,221.0,5.8,82.0,45.0,21.8,11.8,16.0,1.6,4.5,0.75,42.5,Heavy,MODERATE,22.0
27.1,94.5,996.0,-3.0,12.8,230.0,30.0,3100.0,68.0,54.0,202.5,9.8,91.0,55.4,41.0,15.2,9.0,0.9,3.0,0.90,81.2,Very Heavy,SEVERE,62.5
30.5,70.0,1005.0,-0.2,4.5,175.0,1.0,1000.0,41.0,5.2,255.0,1.2,63.0,24.0,3.8,5.5,38.0,4.2,6.8,0.48,6.2,Moderate,LOW,0.8
29.8,80.0,1002.8,-1.0,6.8,200.0,7.0,1700.0,50.5,15.5,236.0,3.8,74.5,37.2,12.4,9.0,24.0,2.6,5.2,0.65,22.8,Heavy,MODERATE,11.5
26.5,97.0,993.2,-3.8,15.2,245.0,41.5,3600.0,72.8,72.0,197.0,11.9,95.0,59.8,51.0,16.8,6.5,0.6,2.5,0.96,105.0,Extremely Heavy,SEVERE,88.0
32.0,55.0,1008.2,0.6,2.8,140.0,0.0,520.0,30.0,0.4,280.0,0.2,47.0,13.5,0.9,3.1,58.0,5.8,8.0,0.35,0.5,Light,LOW,0.0
28.5,87.0,1000.4,-1.4,8.5,208.0,13.2,2180.0,57.0,26.5,222.8,5.4,81.2,44.2,20.5,11.4,17.0,1.7,4.6,0.74,39.5,Heavy,MODERATE,19.8
